t:18.840000000000146 fi:1.00368780119072 vz:2.7725878370840045 wy:0.9705254718411728 ngpu:3792.45175699879 k2:3688 k1:3688
t:18.570000000000103 fi:1.0002062980841286 vz:2.9144307477689066 wy:1.039700432335371 ngpu:4079.626629410962 k2:3804 k1:3804
t:18.440000000000083 fi:1.0107670837881602 vz:3.006713738182769 wy:1.0820605514257562 ngpu:4287.254315304753 k2:3868 k1:3868
t:18.450000000000085 fi:1.0029736377718472 vz:2.9897161622946316 wy:1.0760882384018313 ngpu:4268.431110925852 k2:3860 k1:3860
t:18.61000000000011 fi:1.0045935809475603 vz:2.897451893251391 wy:1.0300321908802699 ngpu:4026.83502689393 k2:3788 k1:3788
t:18.710000000000125 fi:1.0045384989223096 vz:2.8418102207283393 wy:1.0031110009268756 ngpu:3911.776612969944 k2:3744 k1:3744
t:18.570000000000103 fi:1.0094654487084944 vz:2.927125186810595 wy:1.0430547753724013 ngpu:4080.1497575119397 k2:3808 k1:3808
t:18.520000000000095 fi:1.003377633549776 vz:2.9481203178543556 wy:1.0553076385077302 ngpu:4152.656298719927 k2:3828 k1:3828
t:18.73000000000013 fi:1.0060811378488266 vz:2.8330991775458543 wy:0.9984829850761623 ngpu:3891.4624987628717 k2:3736 k1:3736
t:18.630000000000113 fi:1.006632488957122 vz:2.888889151770289 wy:1.025235729981643 ngpu:4001.9980739006724 k2:3780 k1:3780
t:18.500000000000092 fi:1.0007539128936316 vz:2.9564047378064044 wy:1.0602388515202068 ngpu:4183.7935094682925 k2:3836 k1:3836
t:18.500000000000092 fi:1.0100282006157268 vz:2.9692432721820423 wy:1.0636604921804371 ngpu:4184.530797917794 k2:3840 k1:3840
t:18.590000000000106 fi:1.00245192050028 vz:2.905967101884573 wy:1.03485438970642 ngpu:4052.6963265366862 k2:3796 k1:3796
t:18.660000000000117 fi:1.000258800094814 vz:2.863448712953849 wy:1.0148210581533537 ngpu:3966.2145946121063 k2:3764 k1:3764
t:18.5600000000001 fi:1.0083012163085339 vz:2.9313543427942546 wy:1.0454955107173782 ngpu:4094.065981630403 k2:3812 k1:3812
t:18.49000000000009 fi:1.0086726613603942 vz:2.97337664568816 wy:1.0661409273762619 ngpu:4200.631648962346 k2:3844 k1:3844
t:18.68000000000012 fi:1.00204401980207 vz:2.854819143604336 wy:1.0101137537997171 ngpu:3943.7894208254183 k2:3756 k1:3756
t:18.80000000000014 fi:1.0015232612821925 vz:2.790160599015468 wy:0.9793998294261855 ngpu:3825.9828458955817 k2:3704 k1:3704
t:18.650000000000116 fi:1.0085698797841662 vz:2.8802827207190016 wy:1.0204667327467722 ngpu:3978.142225301982 k2:3772 k1:3772
t:18.720000000000127 fi:1.0053217446584863 vz:2.837458288314643 wy:1.0007928565491284 ngpu:3901.519876741976 k2:3740 k1:3740
t:18.67000000000012 fi:1.0011637403715818 vz:2.859138507165693 wy:1.0124636305172123 ngpu:3954.8904251432873 k2:3760 k1:3760
t:18.690000000000122 fi:1.002899798569722 vz:2.8504910389786935 wy:1.007771589553578 ngpu:3932.9066634076644 k2:3752 k1:3752
t:18.94000000000016 fi:1.0075947535244316 vz:2.7284452746056607 wy:0.9489844986719211 ngpu:3718.528045333768 k2:3648 k1:3648
t:18.74000000000013 fi:1.0068168419046435 vz:2.82873325378568 wy:0.9961815062416572 ngpu:3881.599947369315 k2:3732 k1:3732
t:18.86000000000015 fi:1.0046385437409382 vz:2.763779520774706 wy:0.9661430795473926 ngpu:3776.592724610755 k2:3680 k1:3680
t:18.770000000000135 fi:1.0088834585263675 vz:2.8155981113931374 wy:0.9893285080493606 ngpu:3853.1370399626303 k2:3720 k1:3720
t:18.780000000000136 fi:1.0095260464474227 vz:2.8112083945409245 wy:0.987061645342013 ngpu:3844.0099427509617 k2:3716 k1:3716
t:18.960000000000164 fi:1.0081284617018822 vz:2.719594911789589 wy:0.9447880147476376 ngpu:3705.2202284610917 k2:3640 k1:3640
t:18.900000000000155 fi:1.0062834446379583 vz:2.746129034121451 wy:0.9574893102919755 ngpu:3746.541279692364 k2:3664 k1:3664
t:18.820000000000142 fi:1.002649807425902 vz:2.781382241763904 wy:0.9749445147665246 ngpu:3808.9050374452254 k2:3696 k1:3696
